urlLength,hostnameLength,pathLength,dotCount,dashCount,atCount,questionCount,digitCount,digitRatio,hasIpAddress,hasSensitiveWords,hasDoubleSlashRedirect,hasHttpsTokenInDomain,nanEntropy,nanRelativeEntropy,status
132.0,16.0,24.0,3.0,0.0,0.0,1.0,4.0,0.030303030303030304,0.0,0.0,0.0,0.0,2.355388542207534,0.5861292829818769,1
123.0,34.0,82.0,4.0,0.0,0.0,0.0,9.0,0.07317073170731707,0.0,1.0,0.0,0.0,1.360964047443681,0.3783009430705619,1
72.0,14.0,51.0,4.0,0.0,0.0,0.0,10.0,0.1388888888888889,0.0,0.0,0.0,0.0,1.7735572622751854,0.66023711189432,0
73.0,21.0,45.0,3.0,2.0,0.0,0.0,6.0,0.0821917808219178,0.0,0.0,0.0,0.0,1.789929075309999,0.2126527834293203,1
29.0,21.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8423709931771084,0.19555484077389096,0
42.0,16.0,18.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.18532351931576563,0
62.0,16.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8464393446710154,0.8546294088745369,0
17.0,10.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5219280948873621,0.42344957488838875,0
54.0,11.0,35.0,2.0,0.0,0.0,0.0,7.0,0.12962962962962962,0.0,0.0,0.0,0.0,1.3787834934861753,0.3585169326019688,1
20.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
69.0,25.0,37.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7841591278514217,0.4902052838459201,0
27.0,14.0,6.0,1.0,0.0,0.0,0.0,4.0,0.14814814814814814,0.0,0.0,0.0,0.0,1.2516291673878228,0.4406846959103213,0
41.0,25.0,9.0,2.0,0.0,0.0,0.0,8.0,0.1951219512195122,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,1
42.0,13.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.224394445405986,0.3973075119668213,1
37.0,30.0,32.0,2.0,0.0,0.0,0.0,1.0,0.02702702702702703,0.0,0.0,0.0,0.0,1.5219280948873621,0.42344957488838875,1
30.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
35.0,17.0,10.0,1.0,0.0,0.0,0.0,3.0,0.08571428571428572,0.0,0.0,0.0,0.0,1.2516291673878228,0.4406846959103213,1
79.0,26.0,46.0,3.0,3.0,0.0,0.0,5.0,0.06329113924050633,0.0,0.0,0.0,0.0,1.895461844238322,0.39610525419201525,0
41.0,13.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2987949406953985,0.37348134674036887,1
32.0,11.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1488348542809166,0.47559235952736834,1
28.0,19.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
103.0,13.0,36.0,2.0,0.0,0.0,1.0,24.0,0.23300970873786409,0.0,0.0,0.0,0.0,2.0349409139562287,0.42601712700064337,1
44.0,18.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.058813890331201,0.5402162279153666,0
50.0,17.0,26.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8910611120726528,0.2860706448600423,0
61.0,23.0,11.0,3.0,0.0,0.0,1.0,2.0,0.03278688524590164,0.0,0.0,0.0,0.0,2.3709505944546687,0.6811955450437086,0
37.0,28.0,1.0,2.0,0.0,0.0,0.0,4.0,0.10810810810810811,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,1
31.0,23.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
43.0,15.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1556390622295662,0.6161314061891814,0
